Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
"Sir Charles Sedley, 5th Baronet",Literature,Male,1639,"United Kingdom,",5,Q1066050,1639-03-05,19948995,25021,1701-08-20,Sedley,Sir Charles,,https://commons.wikimedia.org/wiki/File:SirCharlesSedley5thBt.jpg,"playwright, poet, writer, politician",playwright
John Selden,"Military, Politics, and Law",Male,1584,"Sussex, South East England",3,Q735697,1584-12-16,51728429,25052,1654-11-30,Selden,John,,https://commons.wikimedia.org/wiki/File:John_Selden_from_NPG_cleaned.jpg,"politician, writer, jurist",politician
DNE,,,,,7,,,,,,Selvaggi,,,,,
Seneca,Literature,Male,-4,"Córdoba, Andalusia, Spain",7,Q2054,-4,90637919,,1965-04-12,Seneca,,,https://commons.wikimedia.org/wiki/File:Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_07.jpg,"playwright, poet, philosopher, aphorist, statesperson, politician, writer",playwright
Madame de Sévigné,Literature,Female,1626,"Paris, France",7,Q237103,1626-02-05,32002865,,1696-04-17,Sévigné,Madame de,,https://commons.wikimedia.org/wiki/File:Marquise_de_sevignee.jpg,"correspondent, writer, philosopher",correspondent
Jonathan M. Sewall,Literature,Male,1748,"Salem, Massachusetts, United States",1,Q6273778,1748,8846364,,1808-03-29,Sewall,Jonathan,M,,"poet, writer",poet
Harriet Winslow Sewall,Literature,Female,1819,"Portland, Maine, United States",8,Q5664383,1819-06-20,1.71E+08,,1889-12-20,Sewall,Harriet,W,https://commons.wikimedia.org/wiki/File:Harriet_Winslow_Sewall.jpg,"poet, writer, suffragette",poet
Thomas Seward,Literature,Male,1708,"United Kingdom,",7,Q7793878,1708,68804690,25136,1790-03-04,Seward,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Seward.jpg,writer,writer
William H. Seward,"Military, Politics, and Law",Male,1801,"Florida, Orange County, New York, United States",5,Q297308,1801-05-16,42616145,,1872-10-10,Seward,William,H,"https://commons.wikimedia.org/wiki/File:William_Seward,_Secretary_of_State,_bw_photo_portrait_circa_1860-1865.jpg","politician, lawyer, diplomat, writer",politician
George Sewell,Society,Male,1687,"Widsor, England, UK",1,Q5544442,1687,54200956,25141,1726,Sewell,Dr. George,,,translator,translator
Shackerley Marmion,Literature,Male,1603,"Northamptonshire, England, United Kingdom",5,Q7460164,1603,44648236,18083,1639,Shakerly,Marmion,,,"playwright, poet",playwright
William Shakespeare,Literature,Male,1564,"Stratford-upon-Avon, Warwickshire, England",1,Q692,1564-04-23,96994048,25200,1616-04-23,Shakespeare,William,,https://commons.wikimedia.org/wiki/File:Shakespeare.jpg,playwright,playwright
William Sharp,Literature,Male,1855,"Paisley, Scotland",10,Q1575288,1855-09-12,27144257,36041,1905-12-12,Sharp,William,,https://commons.wikimedia.org/wiki/File:William_Sharp_(writer)_-_Project_Gutenberg_eText_19028.jpg,"writer, poet, biographer",writer
George Bernard Shaw,Literature,Male,1856,"Dublin, Ireland",10,Q19185,1856-07-26,89019752,36047,1950-11-02,Shaw,George,Bernard,https://commons.wikimedia.org/wiki/File:George_bernard_shaw.jpg,playwright,playwright
Henry Sheres,"Military, Politics, and Law",Male,1641,"United Kingdom,",3,Q18813218,1641,15122558,25291,1710,Sheers,Sir Henry,,,"engineer, author",engineer
"John Sheffield, 1st Duke of Buckingham and Normanby","Military, Politics, and Law",Male,1648,"London, England, United Kingdom",1,Q2736244,1648-04-07,7818454,25297,1721-02-24,Sheffield,Duke of Buckinghamshire,,https://commons.wikimedia.org/wiki/File:JohnSheffield.jpg,"statesperson, politician, writer, poet",statesperson
Percy Bysshe Shelley,Literature,Male,1792,"Horsham, West Sussex, England",4,Q93343,1792-08-04,95159449,25312,1822-07-08,Shelley,Percy,B,https://commons.wikimedia.org/wiki/File:Percy_Bysshe_Shelley_by_Alfred_Clint.jpg,"linguist, poet, translator, playwright, novelist, writer, librettist",linguist
William Shenstone,Literature,Male,1714,"Halesowen, Dudley, England",1,Q329141,1714-11-18,41890027,25321,1763-02-11,Shenstone,William,,https://commons.wikimedia.org/wiki/File:William_Shenstone_by_Edward_Alcock.jpg,"horticulturist, poet, gardener, writer",horticulturist
"Helen Blackwood, Baroness Dufferin and Claneboye",Literature,Female,1807,"England, United Kingdom",10,Q5701894,1807-01-18,1.01E+08,25366,1867-06-13,Sheridan,Helen,S,https://commons.wikimedia.org/wiki/File:Helen_Blackwood00.jpg,"composer, poet, writer",composer
Richard Brinsley Sheridan,Literature,Male,1751,"Dublin, Ireland",1,Q352725,1751-10-30,9922178,25367,1816-07-07,Sheridan,Richard,Brinsley,https://commons.wikimedia.org/wiki/File:Richard_Sheridan.jpg,"poet, politician, librettist, dramaturge, playwright, writer",poet
William Tecumseh Sherman,"Military, Politics, and Law",Male,1820,"Ohio, United States",9,Q188936,1820-02-08,46828814,,1891-02-14,Sherman,William,T,https://commons.wikimedia.org/wiki/File:William_tecumseh_sherman.jpg,"military officer, lawyer, banker, writer",military officer
James Shirley,Literature,Male,1596,"London, England, United Kingdom",1,Q1349914,1596-09-01,22157363,25427,1666-10-01,Shirley,James,,https://commons.wikimedia.org/wiki/File:James_Shirley.jpg,"playwright, writer, poet",playwright
Joseph Henry Shorthouse,Literature,Male,1834,"Birmingham, England, United Kingdom",10,Q6283945,1834-09-09,74891621,36077,1903-03-04,Shorthouse,Joseph,H,https://commons.wikimedia.org/wiki/File:J_H_Shorthouse.jpg,writer,writer
Philip Sidney,"Military, Politics, and Law",Male,1554,"Kent, England, United Kingdom",1,Q315509,1554-11-30,71397821,25522,1586-10-17,Sidney,Sir Philip,,https://commons.wikimedia.org/wiki/File:Sir_Philip_Sidney_from_NPG.jpg,"poet, diplomat, novelist, military personnel, politician, writer",poet
Algernon Sidney,"Military, Politics, and Law",Male,1623,"Baynard's Castle, London, England, United Kingdom",8,Q1034181,1623-01-15,71455359,25519,1683-12-07,Sidney,Algernon,,https://commons.wikimedia.org/wiki/File:AlgernonSydneyColour.jpg,"diplomat, politician, writer",diplomat
George Robert Sims,Literature,Male,1847,"London Borough of Lambeth, London, England, United Kingdom",10,Q531150,1847-09-02,3811161,37964,1922-09-04,Sims,George,R,https://commons.wikimedia.org/wiki/File:George_Robert_Sims_c1890cr.jpg,"journalist, writer, poet, novelist, playwright, humorist, crime fiction writer",journalist
Jean Sirmond,Literature,Male,1589,"Riom, Puy-de-Dôme, France",8,Q1219274,1589,7438501,,1649,Sirmond,John,,https://commons.wikimedia.org/wiki/File:Жан_Сирмон.PNG,"poet, historian",poet
Jean Charles Léonard de Sismondi,Industry and Finance,Male,1773,"Geneva, Switzerland",8,Q124073,1773-05-09,95159682,57224,1842-06-25,Sismondi,,,https://commons.wikimedia.org/wiki/File:Jean_Charles_Simonde_de_Sismondi_(1773-1842).png,"historian, economist, writer, botanist",historian
John Skelton,Literature,Male,1460,"England, United Kingdom",9,Q638589,1460,29549101,25661,1529-06-21,Skelton,John,,https://commons.wikimedia.org/wiki/File:John_Skelton.jpg,"poet, writer",poet
Christopher Smart,Literature,Male,1722,"Shipbourne, United Kingdom",5,Q2617795,1722-04-11,51703197,25739,1771-05-21,Smart,Christopher,,https://commons.wikimedia.org/wiki/File:Christopher_Smart.jpg,"writer, stage actor, composer, hymnwriter, children's writer, editor",writer
Samuel Smiles,Literature,Male,1812,"Haddington, East Lothian, Scotland, United Kingdom",10,Q1195422,1812-12-23,84074173,36125,1904-04-16,Smiles,Samuel,,https://commons.wikimedia.org/wiki/File:Samuel_Smiles_by_Sir_George_Reid.jpg,"writer, journalist, biographer, philosopher",writer
Adam Smith,Industry and Finance,Male,1723,"Kirkcaldy, Fife, Scotland",5,Q9381,1723-06-16,49231791,25767,1790-07-17,Smith,Adam,,https://commons.wikimedia.org/wiki/File:AdamSmith.jpg,"economist, non-fiction writer, philosopher, writer, university teacher, French moralist, publisher",economist
Samuel Francis Smith,Literature,Male,1808,"Boston, Massachusetts, United States",7,Q7411414,1808-10-21,62479927,,1895-11-16,Smith,Samuel,F,"https://commons.wikimedia.org/wiki/File:Samuel_Francis_Smith_by_CD_Mosher,_1890.jpg","lyricist, songwriter, writer, journalist",lyricist
Sydney Smith,Literature,Male,1771,"Woodford, London, England, United Kingdom",7,Q6182166,1771-06-03,13103803,25903,1845-02-22,Smith,Sydney,,https://commons.wikimedia.org/wiki/File:Sydney_smith.jpg,"cleric, journalist, writer",cleric
James Smith,Literature,Male,1775,"Loose, Kent, England, UK",8,Q6146006,1775-02-10,32164295,25821,1839-12-24,Smith,James,,https://commons.wikimedia.org/wiki/File:James_Smith_by_James_Lonsdale.jpg,writer,writer
Arabella Eugenia Smith,Literature,Female,1844,"Bukovina, Austria-Hungary",10,Q55669007,1844,,,1916,Smith,Belle,E,,poet,poet
Edmund Smith,Literature,Male,1672,"United Kingdom,",7,Q5339833,1672,14851581,25792,1710,Smith,Edmund,,,"writer, lyricist",writer
Alexander Smith,Literature,Male,1830,"Kilmarnock, East Ayrshire, Scotland",5,Q3610799,1830-12-31,14786280,25771,1867-01-05,Smith,Alexander,,"https://commons.wikimedia.org/wiki/File:James_Archer_-_Alexander_Smith,_1830_-_1867._Poet_and_writer_-_PG_2453_-_National_Galleries_of_Scotland.jpg","poet, writer",poet
Horace Smith,Literature,Male,1779,"London, England, United Kingdom",8,Q3140473,1779-12-31,2.07E+08,25815,1849-07-12,Smith,Horace,,https://commons.wikimedia.org/wiki/File:Horatio_Smith.jpg,"poet, writer",poet
Seba Smith,Literature,Male,1792," Buckfield, Maine, United States",9,Q3007988,1792-09-14,35697328,,1868-07-28,Smith,Seba,,https://commons.wikimedia.org/wiki/File:Seba_Smith_oakes-smith_org.jpg,"writer, humorist, editor, journalist",writer
John Smith,Literature,Male,1580,"Willoughby, Lincolnshire, United Kingdom",6,Q228024,1580,4952029,25835,1631-06-21,Smith,Captain John,,https://commons.wikimedia.org/wiki/File:Captain_John_Smith_gravure_new.jpg,"explorer, military personnel, writer, autobiographer",explorer
Tobias Smollett,Literature,Male,1721,"Cardross, Argyll and Bute, Scotland",1,Q356283,1721-03-19,68935985,25947,1771-09-17,Smollett,Tobias,,https://commons.wikimedia.org/wiki/File:Tobias_Smollett_c_1770.jpg,"physician writer, historian, novelist, journalist, surgeon, translator, poet, writer",physician writer
William Smyth,Religion,Male,1460,"Farnworth, Cheshire, United Kingdom",7,Q3710010,1460,,25920,1514-01-02,Smyth,William,,https://commons.wikimedia.org/wiki/File:Bishop_William_Smyth.jpg,"Catholic priest, Catholic bishop",Catholic priest
William Somervile,Literature,Male,1675,"Warwickshire, England, United Kingdom",8,Q4428668,1675-09-02,77382678,26026,1742-07-19,Somerville,William,,https://commons.wikimedia.org/wiki/File:WilliamSomerville.jpg,poet,poet
Sophocles,Literature,Male,-497,"Colonus, ancient Athenian deme",7,Q7235,-497,1.02E+08,,-406,Sophocles,,,https://commons.wikimedia.org/wiki/File:Ny_Carlsberg_Glyptothek_-_Sophokles.jpg,"tragedy writer, playwright, writer",tragedy writer
Robert South,Religion,Male,1634,"Hackney Middlesex, England, UK",7,Q7349926,1634-09-04,1.21E+08,26048,1716-07-08,South,Robert,,https://commons.wikimedia.org/wiki/File:Robert_South_D.D._portrait.jpg,"theologian, writer",theologian
Thomas Southerne,Literature,Male,1660,"Oxmantown, Dublin, Ireland",1,Q2403714,1660,64038088,26053,1746-05-26,Southerne,Thomas,,https://commons.wikimedia.org/wiki/File:READ(1879)_p1.221_THOMAS_SOUTHERNE.jpg,"playwright, writer",playwright
Robert Southey,Literature,Male,1774,"Bristol, South West England, United Kingdom",1,Q216838,1774-08-12,61576896,26056,1843-03-21,Southey,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Southey_-_Project_Gutenberg_eText_13619.jpg,"writer, poet, historian, biographer, politician, translator",writer
Robert Southwell,Religion,Male,1561,"Norfolk, East Anglia, England",7,Q1380904,1561,55046,26064,1595-02-21,Southwell,Robert,,https://commons.wikimedia.org/wiki/File:Robert_Southwell.JPG,"writer, poet, Latin Catholic priest",writer
William Robert Spencer,Literature,Male,1770,"London, England, United Kingdom",1,Q8018648,1770-01-09,69284847,26140,1834-10-22,Spencer,William,R,https://commons.wikimedia.org/wiki/File:William_Spencer.jpg,"poet, writer",poet
Herbert Spencer,History and Philosophy,Male,1820,"Derby, Derbyshire, England",9,Q144535,1820-04-27,27074806,36208,1903-12-08,Spencer,Herbert,G,https://commons.wikimedia.org/wiki/File:Herbert_Spencer.jpg,"philosopher, economist, anthropologist, psychologist, journalist, sociologist, writer, botanist, biologist",philosopher
Edmund Spenser,Literature,Male,1552,"London, England, United Kingdom",1,Q4352055,1552,1.00E+08,26145,1599-01-13,Spenser,Edmund,,https://commons.wikimedia.org/wiki/File:Edmund_Spenser_oil_painting.JPG,"poet, translator, writer",poet
Harriet Elizabeth Prescott Spofford,Literature,Female,1835,"Calais, Maine, United States",10,Q13563197,1835-04-03,18066976,,1921-08-14,Spofford,Harriet,P,https://commons.wikimedia.org/wiki/File:Harriet-P-Spofford.jpg,"novelist, poet, short story writer, writer, author",novelist
Charles Sprague,Literature,Male,1791,"Boston, Massachusetts, United States",1,Q5082601,1791-10-26,48236007,,1875-01-22,Sprague,Charles,,"https://commons.wikimedia.org/wiki/File:Charles_Sprague_daguerreotype_by_Southworth_&_Hawes,_c1850.jpg","poet, businessperson, writer",poet
Augustine of Hippo,Religion,Male,354,Thagaste (ancient city),6,Q8018,0354-11-13,66806872,,0430-08-28,St Augustine,,,https://commons.wikimedia.org/wiki/File:Augustine_Lateran.jpg,"philosopher, theologian, autobiographer, music theorist, preacher, historian, poet, presbyter, writer, Catholic priest, titular bishop, Catholic bishop",philosopher
Germaine de Staël,Literature,Female,1766,"Paris, France",7,Q123041,1766-04-22,89204033,57371,1817-07-14,Staël,Madame,de,https://commons.wikimedia.org/wiki/File:Marie_Eléonore_Godefroid_-_Portrait_of_Mme_de_Staël.jpg,"writer, salonnière, diarist, literary critic, politician, correspondent, philosopher",writer
Edmund Clarence Stedman,Literature,Male,1833,"Hartford, Connecticut, United States",10,Q3719466,1833-10-08,74024682,,1908-01-18,Stedman,Edmund,C,https://commons.wikimedia.org/wiki/File:Edmund_Clarence_Stedman_cph.3a44372.jpg,"poet, literary critic, banker, writer",poet
Richard Steele,Literature,Male,1672,"Dublin, Ireland",3,Q333148,1672-03-12,22167754,26347,1729-09-01,Steele,Sir Richard,,https://commons.wikimedia.org/wiki/File:Sir_Richard_Steele_by_Jonathan_Richardson.jpg,"playwright, politician, journalist, writer",playwright
Miss Fanny Steers,Literature,Female,1797,"United Kingdom,",1,Q104234927,1797,,,1861,Steers,Miss Fanny,,,"songwriter, writer, watercolorist",songwriter
James Kenneth Stephen,Literature,Male,1859,"United Kingdom,",10,Q3365829,1859-02-25,58065116,26376,1892-02-03,Stephen,J,K,https://commons.wikimedia.org/wiki/File:JK_Stephen.jpg,"poet, barrister",poet
Laurence Sterne,Literature,Male,1713,"Clonmel, County Tipperary, Ireland",1,Q218960,1713-11-24,61552699,26412,1768-03-18,Sterne,Laurence,,https://commons.wikimedia.org/wiki/File:Laurence_Sterne_by_Sir_Joshua_Reynolds.jpg,"writer, novelist, autobiographer, religious figure",writer
Thomas Sternhold,Literature,Male,1500,"Gloucestershire, England, United Kingdom",8,Q2427466,1500,51820137,26414,1549,Sternhold,Thomas,,,"writer, politician, poet, translator",writer
George Alex Stevens,Arts,Male,1875,"United Kingdom,",7,Q5536142,1875,2.95E+08,,1954,Stevens,George,A,,songwriter,songwriter
Ezra Stiles,Religion,Male,1727,"North Haven, Connecticut, United States",7,Q547352,1727-12-10,24971966,68751,1795-05-12,Stiles,Ezra,,"https://commons.wikimedia.org/wiki/File:Samuel_King_-_Ezra_Stiles_(1727_-1795),_B.A._1746,_M.A._1749_-_1955.3.1_-_Yale_University_Art_Gallery.jpg","translator, theologian, Christian minister",translator
John Still,Religion,Male,1544,"Grantham, Lincolnshire, England, United Kingdom",2,Q6259210,1544,73991812,26524,1608,Still,Bishop John,,"https://commons.wikimedia.org/wiki/File:Portrait_of_John_Still,_Bishop_of_Bath_and_Wells_(dated_1760–1809)_by_Sylvester_Harding.jpg",priest,priest
Richard Henry Stoddard,Literature,Male,1825,"Hingham, Massachusetts, United States",10,Q7326411,1825-07-02,,,1903-05-12,Stoddard,Richard,H,https://commons.wikimedia.org/wiki/File:RHStoddard.jpg,"writer, poet",writer
Joseph Story,"Military, Politics, and Law",Male,1779,"Marblehead, Essex County, Massachusetts, United States",3,Q1368374,1779-09-18,66531142,,1845-09-10,Story,Joseph,,"https://commons.wikimedia.org/wiki/File:Daguerreotype_of_Joseph_Story,_1844_(edit).jpg","politician, judge, university teacher, lawyer, writer, jurist",politician
William Wetmore Story,Literature,Male,1819,"Salem, Scotland, United Kingdom",10,Q1335728,1819-02-12,29690318,,1895-10-07,Story,William,W,https://commons.wikimedia.org/wiki/File:William_Wetmore_Story_-_Brady-Handy.jpg,"sculptor, poet, editor, journalist, writer, translator",sculptor
William Stoughton,"Military, Politics, and Law",Male,1501,Massachusetts Bay Colony,8,Q8018882,1501,,,1601,Stoughton,William,,,politician,politician
Harriet Beecher Stowe,Literature,Female,1811,"Niort, Deux-Sèvres, France",10,Q102513,1811-06-14,32003151,,1896-07-01,Stowe,Harriet,B,https://commons.wikimedia.org/wiki/File:Beecher-Stowe.jpg,"novelist, poet, children's writer, short story writer, writer, abolitionist",novelist
"William Scott, 1st Baron Stowell","Military, Politics, and Law",Male,1745,"Heworth, Tyne and Wear, United Kingdom",5,Q6191717,1745-10-17,35928023,24935,1836-01-28,Stowell,Lord,,"https://commons.wikimedia.org/wiki/File:William_Scott,_1st_Baron_Stowell_(1745-1836),_by_William_Owen_(1769-1825).jpg","judge, politician",judge
John Suckling,Literature,Male,1609,"London, England, United Kingdom",1,Q2339246,1609-02-10,1.01E+08,26757,1642-06-01,Suckling,Sir John,,https://commons.wikimedia.org/wiki/File:Sir_John_Suckling_by_Sir_Anthony_Van_Dyck.jpg,"poet, playwright, writer",poet
Suetonius,History and Philosophy,Male,70,Italy,8,Q10133,70,89599270,,126,Suetonius,,,https://commons.wikimedia.org/wiki/File:Suetonius_etching_(cropped).jpg,"writer, historian, secretary, biographer, poet, antiquarian",writer
Charles Sumner,"Military, Politics, and Law",Male,1811,"Boston, Massachusetts, United States",10,Q1066198,1811-01-06,22940901,,1874-03-11,Sumner,Charles,,https://commons.wikimedia.org/wiki/File:Charles_Sumner_1855_BPL-crop.jpg,"politician, writer, lawyer",politician
Bertha von Suttner,Literature,Female,1843,"Prague, Czech Republic",10,Q18456,1843-06-09,95160848,,1914-06-21,Suttner,Baroness,Von,https://commons.wikimedia.org/wiki/File:Bertha-von-Suttner-1906.jpg,"writer, novelist, translator, journalist, pacifist, science fiction writer, editor",writer
Jonathan Swift,Literature,Male,1667,"Dublin, Ireland",1,Q41166,1667-11-30,14777110,26833,1745-10-19,Swift,Jonathan,,https://commons.wikimedia.org/wiki/File:Jonathan_Swift_by_Charles_Jervas_detail.jpg,"poet, novelist, satirist, philosopher, human rights activist, pamphleteer, Anglican priest, writer, science fiction writer, essayist, opinion journalist, children's writer, prose writer, public figure, priest",poet
Algernon Charles Swinburne,Literature,Male,1837,"London, England, United Kingdom",10,Q315511,1837-04-05,41846937,36389,1909-04-10,Swinburne,Algernon,C,https://commons.wikimedia.org/wiki/File:Picture_of_Algernon_C._Swinburne.jpg,"poet, writer, literary critic",poet
Josuah Sylvester,Literature,Male,1563,"Kent, England, United Kingdom",1,Q14395605,1563,27174221,26873,1618-09-28,Sylvester,Joshua,,https://commons.wikimedia.org/wiki/File:Joshua_Sylvester.jpg,"linguist, poet, translator",linguist
John Addington Symonds,Literature,Male,1840,"Bristol, South West England, United Kingdom",10,Q538549,1840-10-05,39500310,26888,1893-04-19,Symonds,John,A,"https://commons.wikimedia.org/wiki/File:Symonds,_John_Addington.jpg","poet, art historian, writer, literary critic, author, historian, translator",poet
John B. Tabb,Literature,Male,1845,"Amelia County, Virginia, United States",10,Q6220138,1845-03-22,77754730,,1909-11-19,Tabb,John,B,https://commons.wikimedia.org/wiki/File:John_Banister_Tabb.png,"teacher, poet, writer",teacher
Tacitus,"Military, Politics, and Law",Male,54,"Gallia Narbonensis, Roman province",7,Q2161,54,1.00E+08,48305,120,Tacitus,,,"https://commons.wikimedia.org/wiki/File:Tacitus,_Cornelius_(50_-_116).jpg","historian, politician, military personnel, poet, philosopher, biographer, annalist, jurist, writer",historian
Thomas Talfourd,Literature,Male,1795,"Reading, Berkshire, England",6,Q2426332,1795-05-26,61904095,26951,1854-03-13,Tadfourd,Thomas,Noon,https://commons.wikimedia.org/wiki/File:Sir_Thomas_Noon_Talfourd_by_Henry_William_Pickersgill.jpg,"politician, judge, poet lawyer, writer",politician
Roger B. Taney,Literature,Male,1777,"Calvert County, Maryland, United States",9,Q359470,1777-03-17,35525883,,1864-10-12,Taney,Roger,B,https://commons.wikimedia.org/wiki/File:Portrait_of_Roger_Brooke_Taney.jpg,"judge, lawyer, politician",judge
Richard Tarlton,Arts,Male,1530,"Condover, Shropshire, England, UK",4,Q31241,1530,47112425,26971,1588-09-03,Tarlton,Richard,,https://commons.wikimedia.org/wiki/File:Richard_Tarlton_Pipe_Tabor_c1580s.png,"circus performer, stage actor, comedian",circus performer
Nahum Tate,Literature,Male,1652,"Dublin, Ireland",4,Q956310,1652,29545787,26986,1715-07-30,Tate,Nahum,,,"poet, writer, playwright, translator, librettist, hymnwriter",poet
Bayard Taylor,Literature,Male,1825,"Chester County, Pennsylvania, United States",9,Q812105,1825-01-11,17317198,,1878-12-19,Taylor,Bayard,,https://commons.wikimedia.org/wiki/File:Bayard_Taylor.jpg,"poet, diplomat, novelist, writer, literary critic, journalist, critic, translator, politician, explorer, lyricist",poet
Jeremy Taylor,Religion,Male,1613,"Cambridge, Cambridgeshire, England",7,Q669076,1613-08-15,29566831,27041,1667-08-13,Taylor,Jeremy,,https://commons.wikimedia.org/wiki/File:Jeremytaylor.jpg,"priest, theologian, writer",priest
Jane Taylor,Literature,Female,1783,"London, England, United Kingdom",8,Q4259798,1783-09-23,3253082,27039,1824-04-13,Taylor,Jane,,https://commons.wikimedia.org/wiki/File:The_Taylor_Family_(Martin_Taylor;_Ann_Taylor;_Jefferys_Taylor;_Isaac_Taylor;_Isaac_Taylor;_Jane_Taylor;_Ann_Taylor)_by_Isaac_Taylor.jpg,"poet, novelist, writer, children's writer",poet
Henry Taylor,Literature,Male,1800,"Bishop Middleham, United Kingdom",1,Q1607302,1800-10-18,64022130,27030,1886-03-27,Taylor,Henry,,"https://commons.wikimedia.org/wiki/File:Henry_Taylor_Philip_Van_Artevelde,_by_Julia_Margaret_Cameron.jpg",writer,writer
John Taylor,Literature,Male,1578,"Gloucester, Gloucestershire, United Kingdom",9,Q1029080,1578-08-24,8192736,27044,1653-12-01,Taylor,John,,https://commons.wikimedia.org/wiki/File:John_Taylor_poet.jpg,"writer, poet",writer
"Sir William Temple, 1st Baronet","Military, Politics, and Law",Male,1628,"London, England, United Kingdom",7,Q2248538,1628-04-25,1.20E+08,27122,1699-01-27,Temple,Sir William,,https://commons.wikimedia.org/wiki/File:Sir_Wm_Temple.jpg,"politician, diplomat, essayist",politician
Alfred Tennyson,Literature,Male,1809,"Somersby, Lincolnshire, England, United Kingdom",1,Q173869,1809-08-06,61540536,27137,1892-10-06,Tennyson,Alfred,,"https://commons.wikimedia.org/wiki/File:Alfred,_Lord_Tennyson_by_Julia_Margaret_Cameron.jpg","poet, politician, writer",poet
Terence,Literature,Male,-185,"Carthage, city in the Antiquity",7,Q172048,-185,2.13E+08,,-159,Terence,,,https://commons.wikimedia.org/wiki/File:Terence_cropped.png,"comedy writer, poet, writer, playwright",comedy writer
Tertullian,Religion,Male,155,"Roman Carthage, Ancient Rome",1,Q174929,160,1.00E+08,,220,Tertullian,,,https://commons.wikimedia.org/wiki/File:Tertullian.jpg,"writer, theologian, philosopher",writer
William Makepeace Thackeray,Literature,Male,1811,"Kolkata, Bengal, India",10,Q167768,1811-07-18,95208604,27155,1863-12-24,Thackeray,W,M,https://commons.wikimedia.org/wiki/File:William_Makepeace_Thackeray_by_Jesse_Harrison_Whitehurst-crop.jpg,"writer, novelist, prose writer",writer
Celia Thaxter,Literature,Female,1835,"Portsmouth,",10,Q3664258,1835-06-29,258306,,1894-08-25,Thaxter,Celia,,https://commons.wikimedia.org/wiki/File:Celia_Thaxter.jpg,"poet, writer",poet
William Roscoe Thayer,Literature,Male,1859,"Boston, Massachusetts, United States",10,Q8017754,1859-01-16,29905597,,1923,Thayer,William,R,https://commons.wikimedia.org/wiki/File:Wm._Roscoe_Thayer_LCCN2014699298.jpg,"historian, biographer, poet, writer",historian
Ernest Thayer,Literature,Male,1863,"Lawrence, Massachusetts, United States",10,Q288369,1863-08-14,43080212,,1940-08-21,Thayer,Ernest,L,https://commons.wikimedia.org/wiki/File:Ernest_Thayer.jpg,"poet, writer",poet
Lewis Theobald,Literature,Male,1688,"Sittingbourne, Kent, England",1,Q1822165,1688-04-02,2479987,27169,1744-09-18,Theobald,Louis,,,"literary historian, writer, poet, critic",literary historian
Theocritus,Literature,Male,-301,"ancient Syracuse, Italy",7,Q219484,-301,95161348,,-260,Theocritus,,,https://commons.wikimedia.org/wiki/File:Theocritus-greek-poet-born-in-syracuse.jpg,"poet, writer",poet
Theognis of Megara,Literature,Male,-570,"Megara, Greece",9,Q336115,-570,2.65E+08,,-485,Theognis,,,,"poet, epigrammatist, elegist, writer",poet
James Thomson,Literature,Male,1700,"Ednam, Scotland, Britain",10,Q555029,1700-09-11,14778969,27306,1748-08-27,Thomaon,James,,https://commons.wikimedia.org/wiki/File:James_Thomson_(Scottish_poet).jpg,"writer, poet",writer
Frederick William Thomas,Literature,Male,1806,"Providence, Rhode Island, United States",9,Q5499110,1806-10-25,9699484,,1866-08-27,Thomas,Frederick,W,"https://commons.wikimedia.org/wiki/File:Frederick_William_Thomas_(1806-1866),_c._1840.jpg",writer,writer
Maurice Thompson,Literature,Male,1844,"Indiana, United States",1,Q6793496,1844-09-09,5106439,,1901-02-15,Thompson,James,M,https://commons.wikimedia.org/wiki/File:Maurice_Thompson.jpg,"writer, novelist, lawyer, poet",writer
Francis Thompson,Literature,Male,1859,"Preston, Lancashire, England, United Kingdom",10,Q367745,1859-12-16,44421776,36489,1907-11-13,Thompson,Francis,,https://commons.wikimedia.org/wiki/File:Francis_Thompson_at_19.jpg,"poet, writer, literary critic",poet
Henry David Thoreau,Literature,Male,1817,"Wheeler-Minot Farmhouse, Concord, Massachusetts",10,Q131149,1817-07-12,68936476,,1862-05-06,Thoreau,Henry,D,https://commons.wikimedia.org/wiki/File:Benjamin_D._Maxham_-_Henry_David_Thoreau_-_Restored_-_greyscale_-_straightened.jpg,"poet, philosopher, essayist, autobiographer, diarist, translator, writer, abolitionist, naturalist, ecologist, environmentalist",poet
George Walter Thornbury,Literature,Male,1828,"London, England, United Kingdom",10,Q5545857,1828-11-13,64370033,27341,1876-06-11,Thornbury,George,W,https://commons.wikimedia.org/wiki/File:George_Walter_Thornbury.jpg,"art historian, poet, journalist, novelist, writer",art historian
Rose Hartwick Thorpe,Literature,Female,1850,"Mishawaka, Indiana, United States",10,Q7367750,1850-07-18,71058975,,1939-07-19,Thorpe,Rose,H,"https://commons.wikimedia.org/wiki/File:Rose_Hartwick_Thorpe_from_American_Women,_1897.jpg","poet, writer",poet
